name,address,class,longitude,latitude
Sarjaa Restaurant And Bar,"127/2,Sanewadi, Next to Goodwill Society, ITI Road, Goodwill Society, Sanewadi, Aundh, Pune 411007",Restaurants,73.8093291,18.5531293
Kimling,"101, Gera Junction, Lulla Nagar Signal, Kondhwa, Pune, Maharashtra 411040",Restaurants,73.8896532,18.4856921
Sukanta,"Pulachi Wadi Road, Pulachi Wadi, Deccan Gymkhana, Pune, Maharashtra 411004",Restaurants,73.8442394,18.5169069
Safron Exotic,"Bhagwan Tatyasaheb Kawade Road, Ghorpadi, Pune, Maharashtra 411001",Restaurants,73.9061239,18.5216289
Symphony Resto Bar,"210/A, Range Hill Road, Shivajinagar, Pune, Maharashtra 403702",Restaurants,73.8385719,18.5438144
Malaka Spice,"Lane Number 5, Koregaon Park, Pune, Maharashtra 411001",Restaurants,73.897561,18.537425
The Place - Touche the Sizzler,"119, National Highway 9, Camp, Pune, Maharashtra 411001",Restaurants,73.8785462,18.5185207
Savya Rasa,"Gera Serenity Building, CTS No. 15, Near Starbucks Cafe, Koregaon Park, Pune, Maharashtra 411001",Restaurants,73.8866425,18.5386182
Blue Nile Restaurant,"102, Bund Garden Rd, Gawaliwada, Bund Garden Rd, Gawaliwada, Agarkar Nagar, Pune, Maharashtra 411001",Restaurants,73.877455,18.521813
Bay Leaf Restaurants,"G-3, 5th Avenue, Dhole Patil Road, Pune, Maharashtra 411001",Restaurants,73.875458,18.535014
Effingut Brewerkz,"No. 21/A, Plot No. 389, Serene Bay, Lane Number 6, Koregaon Park, Pune, Maharashtra 411001",Restaurants,73.898624,18.533897
Le Plaisir,"Rajkamal Survey No. 759/125, Prabhat Road, Opposite Cox and Kings, Near, Kelkar Nursing Home, Pune, Maharashtra 411004",Restaurants,73.8386161,18.5143276
Alto Vino,"Senapati Bapat Road, Near Chaturshringi Temple, Pune, Maharashtra 411053",Restaurants,73.829734,18.5323176
Burger King,"S25, Phoenix Market City Mall, 2nd Floor, Pune Nagar Road, Viman Nagar, Pune, Maharashtra 411014",Restaurants,73.9175374,18.5618878
Terttulia Eat-drink-Love,"393 Sanas Corner, Lane No. 5, South Main Road, Koregaon Park, Pune, Maharashtra 411001",Restaurants,73.8967704,18.5329537
BOTECO,"302, Power Plaza, Above SBI Bank, Lane No 7, Koregaon Park, Pune, Maharashtra 411001",Restaurants,73.899365,18.534287
Cafe Goodluck,"Fergusson College Road, Deccan Gymkhana, Goodluck Chowk, Pune, Maharashtra 411004",Restaurants,73.8415511,18.5173482
Baan Tao,"Hyatt Pune,Adjacent to Aga Khan Palace,, 88, Pune Nagar Road, Kalyani Nagar, Pune, Maharashtra 411006",Restaurants,73.9047743,18.5539844
Prem's Restaurant,"Opposite Lane 3, North Main Road, Koregaon Park, Pune, Maharashtra 411001",Restaurants,73.8934881,18.5399853
Jyoti Pure Veg Restaurant,"A1/1, Plot No-45/46, Ground Floor, Picaso Plaza, NIBM Cross Road, Kondhwa, Pune, Maharashtra 411048",Restaurants,73.8901581,18.4781215
Sigree,"City Tower Building, Dhole Patil Road Chatrapati Shahu Maharaj Road,, Sangamvadi, Pune, Maharashtra 411001",Restaurants,73.8751532,18.5393531
Mainland China,"Ground Floor, City Point, Dhole Patil Road, Near Boat Club, Pune, Maharashtra 411011",Restaurants,73.87564295,18.53879011
"World Of Veg Restuarant, Ramsukh House","7th Floor, Ramsukh House, Ganeshkhind Road, Near Sancheti Hospital, Shivaji Nagar, Pune, Maharashtra 411005",Restaurants,73.8515786,18.5299716
Kohinoor Restaurant,"242, MG Road, Camp, Pune, Maharashtra 411001",Restaurants,73.878677,18.511375
Roopali Hotel,"Fergusson College Road, Shivajinagar, Pune, Maharashtra 411005",Restaurants,73.841419,18.519475
Kwality Restaurant,"6, Near Kayani Bakery, East Street, Camp, Pune, Maharashtra 411001",Restaurants,73.8798574,18.5151434
